n,Quick Sort,Merge Sort,Heap Sort,Counting Sort,Radix Sort,Bucket Sort
4000,5.625695099996619,8.85979084999633,10.395074499996326,1.3001953999946636,5.882269199992152,1.4217092000023968
5000,6.467218600002411,12.104079300004855,14.321029050000789,1.6474908499930052,10.849458500001674,2.6284984000000122
6000,8.040457499998865,13.38065429999915,17.127639700001396,2.026472150009795,9.638204900005576,2.0971542000012278
7000,9.852604900001438,17.052039749992787,21.140910949995373,2.433522599997673,11.197901150001144,2.7655171000020573
8000,9.976041449994,21.553176750012426,27.771236549989453,3.0096148500064146,13.245567000004144,3.325756199998864
9000,13.170461149999824,26.69059764999986,29.491382299985958,2.7820792499966274,14.400282399992648,4.3759755000024825
10000,12.616288350002947,26.060638700005256,30.622351499994238,3.035161899998684,15.190573200001722,3.7281065000030367
11000,14.979017599995359,31.386904349994893,33.32421309999347,3.532911950003381,15.888693249991093,4.055832699995676
12000,13.189991349997854,30.626333349999868,38.89827279999167,5.387313399995719,17.984801349999202,4.591484949995106
13000,15.328354250002008,32.80267940000101,40.22601209999266,3.9211744999931852,19.78482364999934,5.320658949997892
14000,18.65806145000022,43.9385131999984,49.218087750006134,4.933018099995934,23.122287550009446,5.187927700006867
15000,17.958124149993182,44.69519239999613,55.215493849999575,4.657852799996931,33.13965030000077,5.700154799995971
16000,17.36589014999481,41.16803400000606,61.950821300001735,5.762258149999866,26.16112939999482,6.26393385000199
17000,20.187979999997197,47.03926015000093,57.5449682000027,5.415848450005001,26.317619050001895,6.551188300005606
18000,20.20234725000023,48.20117160000734,70.06256255000949,6.0362761999982695,31.32537294999338,8.019067399999358
19000,22.626477249994537,55.184443349989465,67.88900715000068,5.767305050005689,28.4424490000049,6.9436198000033755
20000,22.568244850006636,57.5289229500072,80.39800044999765,6.155231550005169,31.39852984999436,8.103153249993511
21000,23.04161250000618,59.083945150004524,75.82459064999796,6.271301950002339,31.169534949995636,7.8032983000014156
22000,25.988734699998872,64.70209045000104,89.93135465001103,7.5180665499971155,35.688446199998225,8.612291599999367
23000,24.872073600008093,64.7964554500021,79.02846739999347,7.281068649996314,36.9455744999982,8.397420400004307
24000,25.1711299999954,65.04477534999182,84.705233050002,7.494015550011568,37.24106580000637,9.724058049997097
25000,26.452519150009834,73.3547700999992,101.48616970000717,9.114101800008712,45.950187150003785,10.040538849989389
26000,28.619595749992754,72.1922743499988,98.83151970000483,9.207623149995925,47.96358685000257,13.079319999994254
27000,32.45981160000042,83.55120010000405,110.55256505000273,8.274521950005465,43.316096700010576,10.47244739999087
28000,32.08029589999626,72.06589314999974,99.69584140000336,9.166617850004855,47.567011699999284,13.129244999998946
29000,34.918058349992975,80.99108210000168,104.82636220000074,8.722034599998096,47.77112070000271,11.573509800001602
30000,34.99757654999485,86.32319344999928,115.4108500499973,9.683905750003419,48.05686160000562,12.033655799996268
31000,37.362043499990705,99.8199115000034,121.92542435001315,10.792105850009648,59.002708699989626,13.418631400003278
32000,51.573739849999356,99.58539079998445,122.85353274999693,10.688303500012353,52.44020450002154,11.850929149994727
33000,42.03076809998265,89.34722650000708,125.47612580001442,10.909454800014373,55.66598354999428,15.894280199989907
34000,43.109805899996445,94.66558729999974,122.6680993999878,11.659471050006687,58.35829340000487,13.330807900018726
35000,39.55907949998618,96.48436725000238,134.4434070000034,11.893482349984197,61.3922073499964,15.189224850007577
36000,41.997982649979804,102.80539694998652,135.72286294998435,13.839560150000807,60.72700655003018,14.264603550003585
37000,41.29282325000645,113.80895010000245,149.89245280001455,11.505103300015662,59.538101250007,14.823993350006504
38000,44.5720198500112,114.6689129499805,154.04290560001073,12.383824300002289,64.08650695000233,15.836826199961251
39000,45.148413549981115,125.52401325000346,148.4914528499985,11.689791849983067,63.23890479998795,16.1297884499902
40000,48.836083500003724,125.46979880000322,163.71984804998192,15.285388999984661,73.89358364999339,17.665498100012655
41000,44.675433999987035,117.8121282500058,156.5421264000122,13.590687949999847,70.43152440000426,16.281931549985984
42000,46.8162362499811,123.46541120002144,170.8010229000081,16.122361100002536,70.80931170002032,19.31547839999439
43000,54.54508760008139,157.35296120005842,186.50255380002818,18.582700600063617,87.98533879999013,19.13291300002129
44000,58.65613100004339,169.42232420001346,179.0443310000228,14.369435200023872,76.96367520011336,15.96546920000037
